Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,Wrapping after Birth within 1 minute,No. of uses 7.1% chlorhexidine digluconate for umbilical cord care,No. of newborn touch skin-care after Gluconate umbilical cord care,No. of newborn breastfeeding (First 24 hours),No. of newborn resitated with bag-mask,1st Visit,2nd Visit,3rd Visit,4th Visit,No. of Reffered Complicated Pregnant Mother in antenatal period,No. of Reffered Complicated Pregnant Mother in Delivery period,No. of Reffered Complicated Pregnant Mother in postnatal period,No. of Reffered patient to Newborn taken by MgSO4,No. of Reffered complication acceptors,No. of ECP Referred,Treatment/Advised,Reffered,Counseling on Adolescence change,Counseling on marriage and adolescent girl received pregnancy,Child No. of adolescent received IFA,Treatment on RTI/STD,Counseling on RTI/STD,Counseling on diversified food,Counseling on prevention of adolescent and violence,Counseling on prevention and cure for mental problems and drug addiction,No. of adolescent girl counseled on Sanitary Pad,Reffered (Adolescent),No. of Treatment on RTI/STI infection,No. of MR(MVA) services,No. of MR Service By Medicine,Total VIA Positive,Total VIA Negative,Total CBE Positive,Total Negative
03,Barisal,0305,Bhola,030505,Lalmohan,7,"Lord Hardinge, Rural Dispensary(RD)",124,124,123,121,3,124,120,97,123,83,51,7,0,4,0,17,18,77,83,49,80,77,115,70,70,138,88,120,0,0,0,0,0,0
03,Barisal,0305,Bhola,030505,Lalmohan,8,"Paschim Char Umed, UH&FWC",56,56,56,56,0,56,112,129,152,4,0,0,0,0,0,0,0,38,110,175,36,19,179,20,34,181,0,0,0,0,0,0,0,0
03,Barisal,0305,Bhola,030505,Lalmohan,9,"RAMGONJ, Rural Dispensary(RD)",2,2,2,2,0,2,1,2,3,2,0,0,0,0,0,13,13,211,115,156,113,66,199,40,72,203,20,261,20,0,0,0,0,0
03,Barisal,0305,Bhola,030505,Lalmohan,10,"Lalmohan, MCWC",1973,1973,1973,1973,4,1973,71,224,79,0,133,38,0,193,0,0,0,429,439,185,429,220,434,364,434,432,50,530,86,0,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,1,"Charfashion, MCH-FP Unit",31,31,31,31,0,31,4,4,1,2,0,0,0,0,3,4,12,177,167,80,172,15,210,213,191,107,2,11,9,2,2,0,6,0
03,Barisal,0305,Bhola,030506,Charfashion,2,"Aminabad, UH&FWC",40,40,40,40,0,40,22,20,18,1,1,0,0,0,10,0,0,65,37,49,36,2,44,29,42,72,0,1,7,8,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,3,"Aslampur, UH&FWC",32,32,32,32,0,32,32,38,54,10,3,1,0,0,0,0,0,209,189,75,129,12,200,29,34,217,0,0,10,17,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,4,"Char Kalmi, UH&FWC",139,139,139,139,0,151,115,94,64,9,19,1,0,0,0,0,0,270,270,57,260,60,270,270,270,270,21,83,0,0,0,18,0,18
03,Barisal,0305,Bhola,030506,Charfashion,5,"Charmadraj, UH&FWC",71,71,63,64,0,71,41,26,23,18,10,0,0,1,0,13,11,157,174,51,135,42,187,187,192,171,0,13,16,19,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,6,"Char Manika, UH&FWC",83,83,83,83,0,83,83,90,90,0,0,0,0,0,0,0,0,186,260,75,90,73,305,107,60,365,0,8,4,5,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,7,"Hazariganj, UH&FWC",25,25,25,25,2,26,31,44,28,0,0,0,0,0,1,12,2,127,129,73,127,0,162,64,156,187,8,59,4,7,0,0,1,0
03,Barisal,0305,Bhola,030506,Charfashion,8,"Jinnaghar, Sadar Clinic",27,27,27,27,0,27,29,34,28,0,0,0,0,0,0,0,0,153,138,46,127,35,183,162,163,122,0,4,6,2,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,9,"Nilkamal, UH&FWC",14,14,14,14,0,14,13,7,1,0,0,0,0,0,3,14,0,129,110,65,109,71,117,94,90,114,0,7,9,3,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,10,"Nurabad, Rural Dispensary(RD)",180,180,180,178,11,180,241,117,97,3,1,0,0,4,0,23,4,288,266,227,171,76,314,203,128,286,43,355,57,19,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,11,"Osmanganj, UH&FWC",92,92,92,92,4,93,46,35,57,43,27,1,0,4,0,0,0,130,118,110,105,61,115,103,102,132,0,0,36,18,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,12,"Charkukri Mukri, UH&FWC",82,82,82,82,3,82,92,87,73,5,5,1,0,2,0,0,0,333,307,35,274,0,479,168,121,350,0,0,0,0,1,30,0,31
03,Barisal,0305,Bhola,030506,Charfashion,13,"Abdullahpur, UH&FWC",10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,236,202,153,148,0,270,126,70,200,0,90,0,0,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,14,"Rasulpur, UH&FWC",132,132,132,132,0,139,131,89,66,4,6,2,0,0,0,0,0,230,228,84,171,89,185,119,77,185,38,59,9,10,0,0,0,0
03,Barisal,0305,Bhola,030506,Charfashion,15,"hazariganj Sosi Vuson, MCWC",43,43,43,43,0,43,39,24,13,4,1,0,0,0,0,0,0,176,174,98,176,31,176,176,176,176,2,123,24,17,10,0,2,0
03,Barisal,0305,Bhola,030507,Monpura,1,"Hajirhat, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0305,Bhola,030507,Monpura,2,"Manpura, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0305,Bhola,030507,Monpura,3,"Sakuchia, UH&FWC",319,270,319,319,5,319,186,247,188,8,59,1,0,10,9,0,0,503,461,137,461,0,360,360,0,360,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,1,"Mathbaria, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53,53,53,53,53,53,53,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,2,"Amragachhia, UH&FWC",0,0,0,0,0,0,0,4,88,3,0,0,0,0,0,0,8,209,194,179,209,102,185,167,121,211,0,30,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,3,"Baramachhua, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,82,53,78,4,124,85,90,71,11,7,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,4,"Betmore, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,77,113,59,7,42,4,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,5,"Daudkhali, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,65,78,55,34,14,4,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,6,"Dhanisafa, UH&FWC",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,234,220,150,55,20,170,55,230,215,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,7,"Gulishakhali, UH&FWC",0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,90,90,84,90,0,92,46,8,76,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,8,"Mathbaria, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,38,38,38,38,41,38,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,9,"Mirukhali, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,10,"Sapleza, UH&FWC",147,147,138,145,18,163,163,147,397,15,42,0,0,2,0,7,0,262,261,171,255,98,286,228,220,249,0,136,12,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,11,"Tikikata, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,71,88,53,81,88,88,78,7,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,12,"Tushkhali, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,130,135,94,110,30,115,40,80,120,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,13,"Tikikata, Mathbaria, MCWC",153,153,143,143,0,153,153,10,10,0,0,0,0,0,11,0,0,229,229,164,229,92,229,229,229,171,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030601,Mathbaria,14,"Mirukhali, Mathbaria, MCWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,33,32,35,33,31,31,31,31,31,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,1,"Nazirpur, MCH-FP Unit",0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,2,"Dirgha, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49,39,87,48,20,42,0,0,4,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,3,"Malikhali, UH&FWC",0,0,0,0,0,8,24,36,21,0,0,0,0,0,0,0,0,147,161,107,162,103,184,175,174,181,15,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,4,"Matibhanga, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,5,"Nazirpur, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,6,"Purba Deulbaridobra, UH&FWC",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,123,205,290,197,25,206,112,27,143,0,72,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,7,"Sekhmatia, UH&FWC",30,30,30,30,0,30,27,31,89,0,0,0,0,0,0,0,0,632,592,397,539,0,553,564,632,610,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,8,"Shankharikati, Others",1,1,1,1,0,1,1,2,15,0,0,0,0,0,3,0,0,16,22,75,20,5,27,16,22,13,1,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030602,Nazirpur,9,"Sreeramkati, UH&FWC",13,13,13,13,0,14,9,26,168,0,0,0,0,0,0,0,0,212,283,227,201,102,376,224,277,274,7,70,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,1,"Bhandaria, Rural Dispensary(RD)",14,14,14,14,0,14,14,71,144,0,0,0,0,0,0,0,0,332,456,710,182,203,170,99,102,238,0,551,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,2,"Bhitabaria, UH&FWC",31,31,31,31,2,31,55,116,281,47,25,0,0,0,0,38,16,1297,1287,653,1297,402,1297,1297,1297,1297,0,449,0,2,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,3,"Dhaoa, UH&FWC",18,18,18,18,1,18,20,41,44,1,0,0,0,0,0,0,0,423,343,266,356,237,410,263,168,403,0,294,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,4,"Gauripur, UH&FWC",5,5,5,4,0,5,20,92,153,0,0,0,0,0,0,0,0,315,174,397,168,115,144,120,182,249,31,583,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,5,"Ikri, UH&FWC",20,20,20,20,0,20,21,87,237,0,0,0,0,0,0,0,0,341,341,598,341,341,598,341,341,598,0,293,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,6,"Nudmulla, Sadar Clinic",0,0,0,0,0,0,3,104,314,34,0,0,0,0,0,35,0,968,968,653,968,397,1088,968,986,1041,0,362,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,7,"Telikhali, UH&FWC",9,9,9,9,0,9,17,27,31,0,0,0,0,0,0,2,2,275,720,247,242,151,572,190,38,415,0,237,0,4,0,0,0,0
03,Barisal,0306,Pirojpur,030603,Bhandaria,8,"Singhakhali, Bhandaria, MCWC",31,31,31,31,0,31,31,52,136,16,0,0,0,0,0,0,0,272,272,434,282,272,434,272,272,434,0,200,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,1,"Chuapasha, UH&FWC",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,1,275,152,84,143,54,302,53,84,384,0,65,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,2,"Durgapur, UH&FWC",0,0,0,0,0,2,5,13,24,0,0,0,0,0,0,0,0,171,233,258,222,90,323,189,188,272,0,32,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,3,"Kadamtala, UH&FWC",13,13,13,13,0,15,12,8,13,20,3,0,0,0,0,19,6,1156,803,399,654,246,1024,188,211,1174,8,223,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,4,"Kalakhali, UH&FWC",0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,272,135,94,185,33,251,55,121,133,0,135,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,5,"Sariktala, UH&FWC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,235,233,71,233,12,233,233,233,233,0,5,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,6,"Shankarpasha, UH&FWC",19,19,19,19,0,19,19,32,61,13,0,0,0,0,0,0,0,1591,2013,75,683,97,1963,0,0,2071,0,513,2,3,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,7,"Sikdar Mallik, UH&FWC",0,0,0,0,0,0,3,21,63,0,0,0,0,0,0,0,0,540,505,366,505,230,520,435,310,484,0,115,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,8,"Tona, UH&FWC",33,33,33,33,0,58,85,146,271,0,0,0,0,0,3,0,0,400,389,335,288,113,410,271,284,415,0,66,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,9,"Pouroshava, Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030604,Pirojpur Sadar,10,"Pirojpur, MCWC",139,139,139,139,17,139,68,61,74,0,11,0,0,0,0,2,0,303,292,153,270,68,286,296,294,275,0,134,10,8,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,1,"Nesarabad, MCH-FP Unit",29,29,29,29,0,29,29,126,186,35,7,6,0,0,4,0,0,229,229,229,229,229,229,229,229,229,5,317,55,6,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,2,"Atghar Kuriana, UH&FWC",0,0,0,0,0,0,0,28,56,7,0,0,0,0,0,5,0,127,127,96,120,68,125,127,127,123,1,94,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,3,"Baldia, Others",0,0,0,0,0,0,0,2,52,24,0,0,0,0,0,7,0,86,57,68,46,11,40,0,2,60,0,15,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,4,"Daihari, UH&FWC",0,0,0,0,0,0,0,7,40,9,0,0,0,0,0,4,0,173,76,114,82,12,83,44,45,135,0,20,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,5,"Guarekha, UH&FWC",0,0,0,0,0,0,0,27,28,25,12,11,0,0,0,11,0,881,870,131,373,102,395,294,271,416,0,42,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,6,"Jalabari, UH&FWC",0,0,0,0,0,1,2,14,8,0,0,0,0,0,0,0,0,24,168,59,56,6,188,0,0,100,0,15,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,7,"Samudaykati, UH&FWC",9,9,9,9,0,10,10,23,6,0,0,0,0,0,0,0,0,61,291,100,80,0,317,3,9,166,0,42,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,8,"Sarengkati, UH&FWC",6,6,6,6,0,6,6,2,133,22,0,0,0,0,0,9,4,132,116,83,84,22,88,4,17,165,0,25,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,9,"Sohagdal, UH&FWC",32,32,32,32,10,32,32,69,184,71,33,10,0,2,1,36,5,739,646,350,728,43,739,708,739,739,0,121,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,10,"Sutiakati, UH&FWC",5,5,5,5,1,5,5,32,54,19,4,1,0,0,3,12,3,2978,2978,196,2738,68,2978,2978,2978,2978,0,102,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,11,"Swarupkati, Sadar Clinic",0,0,0,0,0,0,0,67,104,15,3,0,0,0,0,0,0,126,126,126,126,124,126,126,126,126,2,137,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030605,Nesarabad,12,"Sharsina, UH&FWC",8,8,8,8,3,8,8,41,101,15,1,0,0,0,6,3,0,237,208,118,192,38,237,137,199,228,0,87,0,1,0,0,0,0
03,Barisal,0306,Pirojpur,030606,Kawkhali,1,"Amrajuri, UH&FWC",0,0,0,0,0,0,0,13,22,7,0,0,0,0,0,9,9,290,255,149,160,99,274,193,171,219,0,6,0,0,0,0,0,2
03,Barisal,0306,Pirojpur,030606,Kawkhali,2,"Chirapara, UH&FWC",0,0,0,0,0,0,0,3,42,40,2,0,0,0,0,122,122,546,546,339,546,157,546,484,546,433,84,114,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030606,Kawkhali,3,"Kawkhali, Sadar Clinic",0,0,0,0,0,0,0,44,75,52,0,0,0,0,0,49,49,490,419,271,246,109,525,425,435,406,0,19,6,34,0,0,0,24
03,Barisal,0306,Pirojpur,030606,Kawkhali,4,"Sayna Raghunathpur, UH&FWC",0,0,0,0,0,0,0,8,28,13,0,0,0,0,0,14,14,153,117,129,75,41,172,132,152,137,0,5,0,1,0,0,0,6
03,Barisal,0306,Pirojpur,030606,Kawkhali,5,"Shialkati, UH&FWC",0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,48,48,127,127,67,127,28,127,127,127,94,0,25,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030607,Indurkani,1,"Indurkani, Sadar Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030607,Indurkani,2,"Parerhat, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,284,209,0,0,430,329,98,86,0,121,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030607,Indurkani,3,"Indurkani Sadar, UH&FWC",1,1,1,1,0,1,0,3,39,1,1,0,0,0,62,0,0,465,455,181,131,16,452,343,348,441,0,301,0,0,0,0,0,0
03,Barisal,0306,Pirojpur,030607,Indurkani,4,"Chandipur, UH&FWC",14,14,14,14,0,14,1,6,35,1,1,0,0,0,84,0,0,335,335,149,164,0,335,134,20,323,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,1,"Baultali, UH&FWC",3,3,3,2,0,3,3,6,23,0,0,0,0,0,0,0,0,59,59,26,59,9,59,59,57,57,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,2,"Borasi, UH&FWC",1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,60,70,84,50,40,57,75,108,110,0,18,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,3,"Chandra Dighalia, UH&FWC",7,7,7,7,0,7,23,30,44,0,0,0,0,0,0,1,0,229,236,142,188,45,203,189,193,184,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,4,"Durgapur, UH&FWC",0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,6,38,0,0,24,0,0,0,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,5,"Gobra, UH&FWC",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2,19,9,3,5,0,7,13,0,5,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,6,"Gopinathpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,19,6,0,10,0,0,10,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,7,"Haridaspur, UH&FWC",1,1,1,1,0,5,11,4,2,1,0,0,0,0,0,0,0,74,75,66,72,2,73,75,75,72,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,8,"Jalalabad, UH&FWC",0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,100,224,125,68,257,93,50,56,70,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,9,"Kajulia, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,10,"Karpara BolaKoir, UH&FWC",0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,365,277,260,239,235,264,241,223,197,0,79,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,11,"Kati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,144,58,121,38,192,95,117,152,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,12,"Latifpur, UH&FWC",1,1,1,1,0,1,2,4,1,0,0,0,0,0,0,0,0,89,96,67,77,22,83,77,83,69,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,13,"Majhigati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,160,40,150,4,320,136,171,215,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,14,"Nizra, UH&FWC",31,31,31,31,0,33,34,46,50,1,0,0,0,1,0,0,0,239,331,143,121,70,272,135,126,265,0,99,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,15,"Paikkandi, UH&FWC",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,96,42,63,6,0,44,5,0,96,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,16,"Raghunathpur, UH&FWC",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,17,"Sahapur, UH&FWC",1,1,1,1,0,2,4,1,27,0,0,0,0,0,0,0,0,110,90,43,84,27,78,72,62,47,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,18,"Satpar, UH&FWC",9,9,9,9,0,20,16,8,22,0,0,0,0,0,0,0,0,24,85,34,12,5,4,10,12,0,0,28,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,19,"Suktail, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,29,93,12,16,50,20,15,51,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,20,"Ulpur, UH&FWC",2,2,2,2,0,4,3,5,9,0,0,0,0,0,0,0,0,43,60,18,26,22,62,11,29,46,0,9,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,21,"Urafi, UH&FWC",0,0,0,0,0,0,2,16,12,7,0,0,0,0,0,0,0,113,147,111,125,39,159,107,113,111,6,12,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,22,"Gopinathpur, UH&FWC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,14,17,9,0,17,9,7,7,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,23,"Karpara Pargram, UH&FWC",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,198,619,302,83,45,136,50,15,20,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,24,"Sheik Sahera Khatun Medical College Hospital, Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,25,"Gopalganj, MCWC",390,390,390,390,3,368,233,152,197,3,0,0,0,0,30,0,0,304,308,304,259,70,273,164,115,220,42,21,66,53,0,0,0,0
04,Dhaka,0401,Gopalganj,040101,Gopalganj Sadar,26,"Kalpur, Gopalgoanj Sadar, MCWC",0,0,0,0,0,9,2,2,7,0,0,0,0,0,0,0,0,13,24,9,9,7,9,6,6,5,0,14,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,1,"Bahugram, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,207,80,0,0,172,213,208,209,13,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,2,"Banshbaria, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,216,81,0,0,201,218,217,219,17,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,3,"Batikamari, UH&FWC",0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,51,51,37,50,35,50,51,51,47,0,28,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,4,"Bhabrasur, Rural Dispensary(RD)",0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,163,165,54,142,57,154,158,145,97,0,26,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,5,"Dignagar, Rural Dispensary(RD)",0,0,0,0,0,0,4,60,37,0,0,0,0,0,0,1,0,106,104,63,95,8,109,77,111,109,6,5,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,6,"Gobindapur, UH&FWC",25,25,25,25,3,33,29,26,18,2,0,0,0,0,0,0,0,171,220,307,63,88,319,191,81,322,0,0,0,0,0,0,0,0
04,Dhaka,0401,Gopalganj,040102,Muksudpur,7,"Gohala, Rural Dispensary(RD)",0,0,0,0,0,0,0,19,39,0,0,0,0,0,1,0,0,195,212,161,103,6,213,95,37,195,17,0,0,0,0,0,0,0
